2015-08-27 09:51:47,123;Pression sur le bouton "START"
2015-08-27 11:14:01,684;Pression sur le bouton "START"
2015-08-27 11:14:05,307;Vitesse d'avance d'avance: 37.0
2015-08-27 11:14:07,970;Vitesse de rotation: 16.0
2015-08-27 11:14:24,578;Vitesse de rotation: 21.0
2015-08-27 11:14:37,283;Vitesse de rotation: 22.0
2015-08-27 11:14:39,273;Vitesse de rotation: 23.0
2015-08-27 11:14:40,606;Vitesse de rotation: 24.0
2015-08-27 11:15:03,567;Mise en pause automatique de la bobine
2015-08-27 11:15:03,584;Pause programmée de la bobine
2015-08-27 11:15:04,866;Vitesse de rotation: 0.0
2015-08-27 11:15:31,257;Pression sur le bouton "START"
2015-08-27 11:15:31,411;Vitesse de rotation: 24.0
2015-08-27 11:16:08,960;Pression sur le bouton "PAUSE"
2015-08-27 11:16:09,315;Vitesse de rotation: 0.0
2015-08-27 11:16:09,859;Pression sur le bouton "START"
2015-08-27 11:16:10,046;Vitesse de rotation: 24.0
2015-08-27 11:16:32,748;Pression sur le bouton "PAUSE"
2015-08-27 11:16:33,276;Vitesse de rotation: 0.0
2015-08-27 11:16:33,504;Pression sur le bouton "START"
2015-08-27 11:16:33,944;Vitesse de rotation: 24.0
2015-08-27 11:18:03,078;Vitesse de rotation: 43.0
2015-08-27 11:18:03,741;Vitesse de rotation: 55.0
2015-08-27 11:18:04,403;Vitesse de rotation: 59.0
2015-08-27 11:18:05,077;Vitesse de rotation: 65.0
2015-08-27 11:18:05,756;Vitesse de rotation: 69.0
2015-08-27 11:18:06,459;Vitesse de rotation: 75.0
2015-08-27 11:18:18,462;La bobine s'est terminé avec succès
2015-08-27 11:20:11,198;Pression sur le bouton "START"
2015-08-27 11:20:12,151;Vitesse d'avance d'avance: 36.0
2015-08-27 11:20:13,012;Pression sur le bouton "PAUSE"
2015-08-27 11:20:13,474;Vitesse de rotation: 0.0
2015-08-27 11:22:15,951;Pression sur le bouton "START"
2015-08-27 11:23:06,198;Pression sur le bouton "PAUSE"
2015-08-27 11:23:06,467;Vitesse de rotation: 0.0
2015-08-27 11:23:07,483;Pression sur le bouton "START"
2015-08-27 11:23:07,812;Vitesse de rotation: 10.0
2015-08-27 11:23:09,200;Pression sur le bouton "PAUSE"
2015-08-27 11:23:09,838;Vitesse de rotation: 0.0
2015-08-27 11:23:10,512;Pression sur le bouton "START"
2015-08-27 11:23:10,519;Vitesse de rotation: 10.0
2015-08-27 11:23:11,760;Pression sur le bouton "PAUSE"
2015-08-27 11:23:11,875;Vitesse de rotation: 0.0
2015-08-27 11:24:37,823;Pression sur le bouton "START"
2015-08-27 11:24:37,854;Vitesse de rotation: 10.0
2015-08-27 11:25:21,880;Pression sur le bouton "PAUSE"
2015-08-27 11:25:22,028;Vitesse de rotation: 0.0
2015-08-27 11:25:43,272;Pression sur le bouton "START"
2015-08-27 11:25:43,501;Vitesse de rotation: 10.0
2015-08-27 11:25:44,250;Pression sur le bouton "PAUSE"
2015-08-27 11:25:44,860;Vitesse de rotation: 0.0
2015-08-27 11:28:09,632;Pression sur le bouton "START"
2015-08-27 11:28:09,810;Vitesse de rotation: 10.0
2015-08-27 11:28:45,478;Pression sur le bouton "PAUSE"
2015-08-27 11:28:45,841;Vitesse de rotation: 0.0
2015-08-27 11:28:59,039;Pression sur le bouton "START"
2015-08-27 11:28:59,238;Vitesse de rotation: 10.0
2015-08-27 11:29:01,229;Vitesse de rotation: 15.0
2015-08-27 11:29:01,895;Vitesse de rotation: 17.0
2015-08-27 11:29:02,565;Vitesse de rotation: 19.0
2015-08-27 11:29:03,241;Vitesse de rotation: 37.0
2015-08-27 11:29:05,233;Vitesse de rotation: 58.0
2015-08-27 11:29:05,898;Vitesse d'avance d'avance: 37.0
2015-08-27 11:29:06,561;Vitesse d'avance d'avance: 40.0
2015-08-27 11:29:15,802;Pression sur le bouton "PAUSE"
2015-08-27 11:29:15,870;Vitesse de rotation: 0.0
2015-08-27 11:29:16,671;Pression sur le bouton "START"
2015-08-27 11:29:17,195;Vitesse de rotation: 58.0
2015-08-27 11:31:31,676;Pression sur le bouton "START"
2015-08-27 11:34:06,134;Mise en pause automatique de la bobine
2015-08-27 11:34:06,136;Pause programmée de la bobine
2015-08-27 11:34:07,138;Vitesse de rotation: 0.0
2015-08-27 12:02:53,997;Pression sur le bouton "START"
2015-08-27 12:04:13,794;Pression sur le bouton "PAUSE"
2015-08-27 12:04:14,332;Pression sur le bouton "START"
2015-08-27 12:04:21,032;Vitesse d'avance d'avance: 40.0
2015-08-27 12:04:25,684;Vitesse de rotation: 21.0
2015-08-27 12:04:26,353;Vitesse de rotation: 53.0
2015-08-27 12:04:27,030;Vitesse de rotation: 74.0
2015-08-27 12:04:27,706;Vitesse de rotation: 76.0
2015-08-27 12:04:37,240;Mise en pause automatique de la bobine
2015-08-27 12:04:37,260;Pause programmée de la bobine
2015-08-27 12:04:38,634;Vitesse de rotation: 0.0
2015-08-27 11:25:03,259;Pression sur le bouton "START"
2015-08-27 11:25:15,517;Pression sur le bouton "PAUSE"
2015-08-27 11:25:16,183;Vitesse de rotation: 0.0
2015-08-27 11:25:17,069;Pression sur le bouton "START"
2015-08-27 11:25:17,526;Vitesse de rotation: 10.0
2015-08-27 11:25:55,683;Pression sur le bouton "PAUSE"
2015-08-27 11:25:55,788;Vitesse de rotation: 0.0
2015-08-27 11:25:56,836;Pression sur le bouton "START"
2015-08-27 11:25:57,136;Vitesse de rotation: 10.0
2015-08-27 11:26:05,027;Pression sur le bouton "PAUSE"
2015-08-27 11:26:05,201;Vitesse de rotation: 0.0
2015-08-27 11:26:25,814;Pression sur le bouton "START"
2015-08-27 11:26:25,989;Vitesse de rotation: 10.0
2015-08-27 11:26:41,418;Vitesse de rotation: 18.0
2015-08-27 11:26:46,953;Pression sur le bouton "PAUSE"
2015-08-27 11:26:47,462;Vitesse de rotation: 0.0
2015-08-27 11:27:42,687;Pression sur le bouton "START"
2015-08-27 11:27:42,986;[ERROR] - (boucle principale)
2015-08-27 11:27:44,866;Une erreur est survenue !
2015-08-27 11:28:19,908;Pression sur le bouton "START"
2015-08-27 11:28:38,423;Vitesse d'avance d'avance: 40.0
2015-08-27 11:28:41,782;Vitesse de rotation: 11.0
2015-08-27 11:28:42,462;Vitesse de rotation: 12.0
2015-08-27 11:28:43,144;Vitesse de rotation: 19.0
2015-08-27 11:28:43,819;Vitesse de rotation: 25.0
2015-08-27 11:28:44,493;Vitesse de rotation: 29.0
2015-08-27 11:28:45,849;Vitesse de rotation: 42.0
2015-08-27 11:28:46,527;Vitesse de rotation: 47.0
2015-08-27 11:28:47,206;Vitesse de rotation: 102.0
2015-08-27 11:28:58,813;Mise en pause automatique de la bobine
2015-08-27 11:28:58,838;Pause programmée de la bobine
2015-08-27 11:29:00,291;Vitesse de rotation: 0.0
2015-08-27 11:32:32,265;Pression sur le bouton "START"
2015-08-27 11:59:55,565;Pression sur le bouton "START"
2015-08-27 12:00:12,095;Pression sur le bouton "PAUSE"
2015-08-27 12:00:12,598;Vitesse de rotation: 0.0
2015-08-27 12:01:53,459;Pression sur le bouton "START"
2015-08-27 12:23:43,766;Pression sur le bouton "START"
2015-08-27 12:23:50,019;Mise en pause automatique de la bobine
2015-08-27 12:23:50,024;Pause programmée de la bobine
2015-08-27 12:23:51,049;Vitesse de rotation: 0.0
2015-08-27 12:23:58,603;La bobine s'est terminé avec succès
2015-08-27 12:26:39,357;Pression sur le bouton "START"
2015-08-27 12:36:17,112;Pression sur le bouton "PAUSE"
2015-08-27 12:36:18,216;Pression sur le bouton "START"
2016-07-28 09:43:18,745;Pression sur le bouton "START"
2016-07-28 09:43:18,878;[ERROR] - (boucle principale)
2016-07-28 09:43:20,813;Une erreur est survenue !
2016-07-28 09:44:05,254;Casse du fil !
2016-07-28 09:44:37,684;Une erreur est survenue !
2016-07-28 09:47:40,843;Pression sur le bouton "START"
2016-07-28 09:47:40,967;[ERROR] - (boucle principale)
2016-07-28 09:47:43,686;Une erreur est survenue !
2016-07-28 09:49:27,179;Casse du fil !
2016-07-28 10:46:27,777;Pression sur le bouton "START"
2016-07-28 10:49:33,443;Pression sur le bouton "START"
2016-07-28 10:51:25,185;Pression sur le bouton "START"
2016-07-28 10:54:32,762;Pression sur le bouton "START"
2016-07-28 11:04:50,731;Pression sur le bouton "START"
2016-07-28 11:06:53,986;Pression sur le bouton "START"
2016-07-28 11:08:20,999;Pression sur le bouton "START"
2016-07-28 11:09:02,447;Pression sur le bouton "START"
2016-07-28 11:20:03,155;Pression sur le bouton "START"
